"","p.value","HR","Low 95%CI","High 95%CI"
"NR4A3",0.000713431029611193,0.82814485874196,0.742471488520559,0.923704031285169
"OLR1",0.736504732249786,0.977768250133942,0.857752708970725,1.11457619541324
"OR52N4",0.00202901318932415,0.729678187359018,0.597314061386848,0.891374055168469
"OSCAR",0.168584053688175,0.89588658054729,0.766091313770934,1.04767245206581
"OSM",0.0383798948799828,0.891050043372273,0.798886361051979,0.993846207047801
"OVOL2",0.433325863865361,0.924615576515294,0.759998791914517,1.12488858328457
"OXER1",0.132588816030814,0.907246065103158,0.799158176360416,1.02995307686617
"P2RY12",0.00463760081595131,0.857430986612742,0.770822693783376,0.953770436097604
"P2RY13",0.0020155859219782,0.836102006943213,0.746304017537463,0.936704814106642
"P2RY14",0.000155581630021424,0.750005323968083,0.646127338942323,0.8705837875569
"P2RY6",0.718823816009339,1.02522114222917,0.895216681994192,1.1741050090044
"PAPLN",2.91109407624737e-05,0.762841109416776,0.671912339599806,0.866075117124379
"PCBP3",0.559659636099268,0.971086525973084,0.879926438758535,1.07169076798845
"PDCD1",5.45032841685347e-05,0.828904020322643,0.756698052874907,0.908000056689224
"PDCD1LG2",0.000815764984740083,0.807370977645667,0.712299405744754,0.915131881744267
"PDE3B",0.0325056289938515,0.895266729767306,0.808925896565049,0.990823165424269
"PIGR",1.00129531328731e-05,0.89208309915517,0.848004259288108,0.938453135207564
"PIP5K1B",0.138662029984293,0.939165844840442,0.864299396155054,1.02051729763864
"PIWIL4",0.534886203937784,0.956850532551591,0.832420848489685,1.09987987843581
"PKHD1L1",0.0024949379246099,0.843756837470417,0.75577992251091,0.941974746316185
"PLAG1",0.56735032102228,0.963273805911166,0.847352330948053,1.09505384155421
"PLAUR",0.226106547441793,0.903560798948393,0.766731677900372,1.06480812118257
"PLB1",0.0675806839872381,0.878121643392027,0.763884482295947,1.00944270824286
